ax = -0.516, ay = 0.048, az = 0.816, brake = True
ax = -0.514, ay = 0.047, az = 0.821, brake = True
ax = -0.514, ay = 0.047, az = 0.821, brake = True
ax = -0.517, ay = 0.046, az = 0.819, brake = True
ax = -0.516, ay = 0.044, az = 0.819, brake = True
ax = -0.516, ay = 0.044, az = 0.819, brake = True
ax = -0.521, ay = 0.042, az = 0.817, brake = True
ax = -0.525, ay = 0.039, az = 0.819, brake = True
ax = -0.525, ay = 0.039, az = 0.819, brake = True
ax = -0.523, ay = 0.038, az = 0.817, brake = True
ax = -0.523, ay = 0.038, az = 0.817, brake = True
ax = -0.528, ay = 0.036, az = 0.816, brake = True
ax = -0.526, ay = 0.036, az = 0.818, brake = True
ax = -0.526, ay = 0.036, az = 0.818, brake = True
ax = -0.525, ay = 0.038, az = 0.819, brake = True
ax = -0.525, ay = 0.038, az = 0.819, brake = True
ax = -0.525, ay = 0.038, az = 0.818, brake = True
ax = -0.526, ay = 0.041, az = 0.818, brake = True
ax = -0.526, ay = 0.041, az = 0.818, brake = True
ax = -0.525, ay = 0.042, az = 0.816, brake = True
ax = -0.525, ay = 0.042, az = 0.816, brake = True
ax = -0.526, ay = 0.042, az = 0.817, brake = True
ax = -0.525, ay = 0.042, az = 0.817, brake = True
ax = -0.525, ay = 0.042, az = 0.817, brake = True
ax = -0.521, ay = 0.04, az = 0.818, brake = True
ax = -0.521, ay = 0.04, az = 0.818, brake = True
ax = -0.522, ay = 0.035, az = 0.822, brake = True
ax = -0.521, ay = 0.025, az = 0.821, brake = True
ax = -0.521, ay = 0.025, az = 0.821, brake = True
ax = -0.522, ay = 0.013, az = 0.819, brake = True
ax = -0.522, ay = 0.013, az = 0.819, brake = True
ax = -0.523, ay = 0.003, az = 0.819, brake = True
ax = -0.522, ay = -0.003, az = 0.817, brake = True
ax = -0.522, ay = -0.003, az = 0.817, brake = True
ax = -0.522, ay = -0.003, az = 0.82, brake = True
ax = -0.524, ay = -0.004, az = 0.817, brake = True
ax = -0.524, ay = -0.004, az = 0.817, brake = True
ax = -0.519, ay = -0.006, az = 0.813, brake = True
ax = -0.52, ay = -0.008, az = 0.815, brake = True
ax = -0.52, ay = -0.008, az = 0.815, brake = True
ax = -0.522, ay = -0.009, az = 0.817, brake = False
ax = -0.523, ay = -0.013, az = 0.817, brake = False
ax = -0.523, ay = -0.013, az = 0.817, brake = False
ax = -0.523, ay = -0.016, az = 0.816, brake = False
ax = -0.524, ay = -0.022, az = 0.814, brake = False
ax = -0.524, ay = -0.022, az = 0.814, brake = False
ax = -0.524, ay = -0.025, az = 0.814, brake = False
ax = -0.525, ay = -0.029, az = 0.814, brake = False
ax = -0.525, ay = -0.029, az = 0.814, brake = False
ax = -0.528, ay = -0.029, az = 0.811, brake = False
ax = -0.526, ay = -0.027, az = 0.811, brake = False
ax = -0.526, ay = -0.027, az = 0.811, brake = False
ax = -0.527, ay = -0.02, az = 0.814, brake = False
ax = -0.525, ay = -0.014, az = 0.817, brake = False
ax = -0.525, ay = -0.014, az = 0.817, brake = False
ax = -0.524, ay = -0.008, az = 0.816, brake = False
ax = -0.524, ay = -0.003, az = 0.813, brake = False
ax = -0.524, ay = -0.003, az = 0.813, brake = False
ax = -0.522, ay = 0.006, az = 0.81, brake = False
ax = -0.522, ay = 0.006, az = 0.81, brake = False
ax = -0.521, ay = 0.017, az = 0.813, brake = False
ax = -0.52, ay = 0.029, az = 0.815, brake = False
ax = -0.52, ay = 0.029, az = 0.815, brake = False
ax = -0.519, ay = 0.037, az = 0.812, brake = False
ax = -0.519, ay = 0.037, az = 0.812, brake = False
