ax = -0.564, ay = 0.094, az = 0.782, diff = -0.564 brake = True
ax = -0.558, ay = 0.092, az = 0.799, diff = -0.558 brake = True
ax = -0.558, ay = 0.092, az = 0.799, diff = -0.558 brake = True
ax = -0.554, ay = 0.093, az = 0.785, diff = -0.554 brake = True
ax = -0.554, ay = 0.093, az = 0.785, diff = -0.554 brake = True
ax = -0.56, ay = 0.108, az = 0.791, diff = -0.56 brake = True
ax = -0.556, ay = 0.114, az = 0.806, diff = -0.556 brake = True
ax = -0.556, ay = 0.114, az = 0.806, diff = -0.556 brake = True
ax = -0.551, ay = 0.112, az = 0.811, diff = -0.551 brake = True
ax = -0.551, ay = 0.112, az = 0.811, diff = -0.551 brake = True
ax = -0.545, ay = 0.134, az = 0.818, diff = -0.545 brake = True
ax = -0.546, ay = 0.154, az = 0.832, diff = -0.546 brake = True
ax = -0.546, ay = 0.154, az = 0.832, diff = -0.546 brake = True
ax = -0.555, ay = 0.165, az = 0.817, diff = -0.555 brake = True
ax = -0.555, ay = 0.165, az = 0.817, diff = -0.555 brake = True
ax = -0.56, ay = 0.173, az = 0.806, diff = -0.56 brake = True
ax = -0.596, ay = 0.173, az = 0.79, diff = -0.596 brake = True
ax = -0.596, ay = 0.173, az = 0.79, diff = -0.596 brake = True
ax = -0.608, ay = 0.179, az = 0.798, diff = -0.608 brake = True
ax = -0.608, ay = 0.179, az = 0.798, diff = -0.608 brake = True
ax = -0.557, ay = 0.18, az = 0.792, diff = 0.006523809523809598 brake = False
ax = -0.557, ay = 0.18, az = 0.792, diff = 0.006523809523809598 brake = False
ax = -0.504, ay = 0.171, az = 0.793, diff = 0.059523809523809645 brake = False
ax = -0.479, ay = 0.163, az = 0.798, diff = 0.08452380952380967 brake = False
ax = -0.479, ay = 0.163, az = 0.798, diff = 0.08452380952380967 brake = False
ax = -0.472, ay = 0.147, az = 0.804, diff = 0.09152380952380967 brake = False
ax = -0.472, ay = 0.147, az = 0.804, diff = 0.09152380952380967 brake = False
ax = -0.471, ay = 0.139, az = 0.818, diff = 0.09252380952380967 brake = False
