dx = 0.0, dy = 0.0,  s_cnt = 1, l_cnt = 0, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 1, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 2, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 3, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 4, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 5, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 6, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 7, r_cnt = 0, direction = straight
dx = -145.36, dy = 553.84,  s_cnt = 1, l_cnt = 8, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 9, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 10, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 11, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 12, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 13, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 14, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 15, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 16, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 17, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 18, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 19, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 20, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 21, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 22, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 23, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 24, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 25, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 26, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 27, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 28, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 29, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 30, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 31, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 32, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 33, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 34, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 35, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 36, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 37, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 38, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 39, r_cnt = 0, direction = straight
dx = -142.60000000000002, dy = 556.6,  s_cnt = 1, l_cnt = 40, r_cnt = 0, direction = straight
