distance = 45.725929737091064, message = too close
distance = 45.570552349090576, message = too close
distance = 45.10033130645752, message = too close
distance = 45.431530475616455, message = too close
distance = 45.28024196624756, message = too close
distance = 45.1616644859314, message = too close
distance = 44.63828802108765, message = too close
distance = 44.523799419403076, message = too close
distance = 44.42157745361328, message = too close
distance = 44.33162212371826, message = too close
distance = 44.23348903656006, message = too close
distance = 44.544243812561035, message = too close
distance = 44.43384408950806, message = too close
distance = 44.319355487823486, message = too close
distance = 44.21713352203369, message = too close
distance = 43.701934814453125, message = too close
distance = 43.54655742645264, message = too close
distance = 43.41980218887329, message = too close
distance = 43.37073564529419, message = too close
distance = 43.632423877716064, message = too close
distance = 43.18264722824097, message = too close
distance = 43.0681586265564, message = too close
distance = 42.925047874450684, message = too close
distance = 42.839181423187256, message = too close
distance = 42.69198179244995, message = too close
distance = 43.064069747924805, message = too close
distance = 42.52842664718628, message = too close
distance = 42.45891571044922, message = too close
distance = 42.33216047286987, message = too close
distance = 42.266738414764404, message = too close
distance = 42.13998317718506, message = too close
distance = 42.475271224975586, message = too close
distance = 42.336249351501465, message = too close
distance = 42.27491617202759, message = too close
distance = 42.176783084869385, message = too close
distance = 42.12771654129028, message = too close
distance = 41.55527353286743, message = too close
distance = 41.84149503707886, message = too close
distance = 41.7719841003418, message = too close
distance = 41.7188286781311, message = too close
distance = 41.64522886276245, message = too close
distance = 41.105496883392334, message = too close
distance = 41.00327491760254, message = too close
distance = 41.28540754318237, message = too close
distance = 41.26087427139282, message = too close
distance = 41.130030155181885, message = too close
distance = 40.64754247665405, message = too close
distance = 40.50443172454834, message = too close
distance = 40.905141830444336, message = too close
distance = 40.81927537918091, message = too close
distance = 40.242743492126465, message = too close
distance = 41.04416370391846, message = too close
distance = 40.56576490402222, message = too close
distance = 40.04647731781006, message = too close
distance = 40.32860994338989, message = too close
distance = 39.23279047012329, message = too close
distance = 39.784789085388184, message = too close
distance = 40.107810497283936, message = too close
distance = 40.058743953704834, message = too close
distance = 39.90745544433594, message = too close
distance = 39.39634561538696, message = too close
distance = 39.29821252822876, message = too close
distance = 39.261412620544434, message = too close
distance = 39.576256275177, message = too close
distance = 39.11012411117554, message = too close
distance = 39.43314552307129, message = too close
distance = 38.90976905822754, message = too close
distance = 38.84025812149048, message = too close
distance = 38.77074718475342, message = too close
distance = 38.672614097595215, message = too close
distance = 38.57448101043701, message = too close
distance = 38.54176998138428, message = too close
distance = 38.82390260696411, message = too close
distance = 38.832080364227295, message = too close
distance = 38.33732604980469, message = too close
distance = 38.66443634033203, message = too close
distance = 38.57448101043701, message = too close
distance = 38.07563781738281, message = too close
distance = 37.97750473022461, message = too close
distance = 37.94070482254028, message = too close
distance = 37.83848285675049, message = too close
distance = 37.74852752685547, message = too close
distance = 37.695372104644775, message = too close
distance = 37.15564012527466, message = too close
distance = 37.969326972961426, message = too close
distance = 37.515461444854736, message = too close
distance = 37.81803846359253, message = too close
distance = 37.306928634643555, message = too close
distance = 37.282395362854004, message = too close
distance = 36.74266338348389, message = too close
distance = 37.09430694580078, message = too close
distance = 37.09839582443237, message = too close
distance = 37.400972843170166, message = too close
distance = 36.50550842285156, message = too close
distance = 36.84488534927368, message = too close
distance = 37.22923994064331, message = too close
distance = 36.70177459716797, message = too close
distance = 36.644530296325684, message = too close
distance = 36.57501935958862, message = too close
distance = 36.04755401611328, message = too close
distance = 36.464619636535645, message = too close
distance = 36.37057542800903, message = too close
distance = 35.916709899902344, message = too close
distance = 36.010754108428955, message = too close
distance = 36.194753646850586, message = too close
distance = 36.50550842285156, message = too close
distance = 35.65502166748047, message = too close
distance = 35.53644418716431, message = too close
distance = 35.507822036743164, message = too close
distance = 35.88399887084961, message = too close
distance = 35.72453260421753, message = too close
distance = 35.28702259063721, message = too close
distance = 35.28702259063721, message = too close
distance = 35.61413288116455, message = too close
distance = 35.552799701690674, message = too close
distance = 35.02124547958374, message = too close
distance = 34.988534450531006, message = too close
distance = 35.36062240600586, message = too close
distance = 35.31564474105835, message = too close
distance = 34.85769033432007, message = too close
distance = 35.192978382110596, message = too close
distance = 35.168445110321045, message = too close
distance = 35.078489780426025, message = too close
distance = 35.466933250427246, message = too close
distance = 34.555113315582275, message = too close
distance = 34.49786901473999, message = too close
distance = 34.45698022842407, message = too close
distance = 34.76364612579346, message = too close
distance = 34.6941351890564, message = too close
distance = 34.72275733947754, message = too close
distance = 34.68595743179321, message = too close
distance = 34.61644649505615, message = too close
distance = 34.95582342147827, message = too close
distance = 34.52649116516113, message = too close
distance = 34.824979305267334, message = too close
distance = 34.33840274810791, message = too close
distance = 34.28524732589722, message = too close
distance = 34.23209190368652, message = too close
distance = 34.21982526779175, message = too close
distance = 34.4937801361084, message = too close
distance = 34.06853675842285, message = too close
distance = 34.01947021484375, message = too close
distance = 34.01538133621216, message = too close
distance = 33.5451602935791, message = too close
distance = 33.86818170547485, message = too close
distance = 33.782315254211426, message = too close
distance = 33.77004861831665, message = too close
distance = 33.75369310379028, message = too close
distance = 33.67191553115845, message = too close
distance = 33.209872245788574, message = too close
distance = 34.00311470031738, message = too close
distance = 33.97040367126465, message = too close
distance = 33.917248249053955, message = too close
distance = 33.49609375, message = too close
distance = 33.43476057052612, message = too close
distance = 33.348894119262695, message = too close
distance = 33.31209421157837, message = too close
distance = 33.23849439620972, message = too close
distance = 33.22622776031494, message = too close
distance = 31.97094202041626, message = too close
distance = 33.10765027999878, message = too close
distance = 32.596540451049805, message = too close
distance = 33.050405979156494, message = too close
distance = 33.438849449157715, message = too close
distance = 32.980895042419434, message = too close
distance = 32.895028591156006, message = too close
distance = 32.81325101852417, message = too close
distance = 31.255388259887695, message = too close
distance = 33.19351673126221, message = too close
distance = 32.756006717681885, message = too close
distance = 32.731473445892334, message = too close
distance = 32.326674461364746, message = too close
distance = 32.67831802368164, message = too close
distance = 32.26943016052246, message = too close
distance = 33.17307233810425, message = too close
distance = 33.15671682357788, message = too close
distance = 32.76009559631348, message = too close
distance = 32.731473445892334, message = too close
distance = 32.31440782546997, message = too close
distance = 32.31031894683838, message = too close
distance = 32.83369541168213, message = too close
distance = 32.84187316894531, message = too close
distance = 32.845962047576904, message = too close
distance = 33.32027196884155, message = too close
distance = 32.88685083389282, message = too close
distance = 32.890939712524414, message = too close
distance = 32.935917377471924, message = too close
distance = 33.42658281326294, message = too close
distance = 32.95227289199829, message = too close
distance = 33.029961585998535, message = too close
distance = 32.641518115997314, message = too close
distance = 33.140361309051514, message = too close
distance = 33.10765027999878, message = too close
distance = 33.16080570220947, message = too close
distance = 33.5942268371582, message = too close
distance = 33.1976056098938, message = too close
distance = 33.26711654663086, message = too close
distance = 33.737337589263916, message = too close
distance = 33.28756093978882, message = too close
distance = 33.34071636199951, message = too close
distance = 33.81502628326416, message = too close
distance = 33.851826190948486, message = too close
distance = 33.4470272064209, message = too close
distance = 33.51653814315796, message = too close
distance = 33.51653814315796, message = too close
distance = 33.56560468673706, message = too close
distance = 34.02355909347534, message = too close
distance = 33.58196020126343, message = too close
distance = 33.68418216705322, message = too close
distance = 34.11760330200195, message = too close
distance = 33.70462656021118, message = too close
distance = 33.778226375579834, message = too close
distance = 34.23209190368652, message = too close
distance = 33.778226375579834, message = too close
distance = 34.2934250831604, message = too close
distance = 33.86818170547485, message = too close
distance = 33.92951488494873, message = too close
distance = 34.3424916267395, message = too close
distance = 33.986759185791016, message = too close
distance = 34.03991460800171, message = too close
distance = 34.052181243896484, message = too close
distance = 34.06035900115967, message = too close
distance = 34.12986993789673, message = too close
distance = 34.187114238739014, message = too close
distance = 34.63280200958252, message = too close
distance = 34.21982526779175, message = too close
distance = 34.29751396179199, message = too close
distance = 34.326136112213135, message = too close
distance = 34.829068183898926, message = too close
distance = 34.38338041305542, message = too close
distance = 34.48969125747681, message = too close
distance = 34.46924686431885, message = too close
distance = 34.46924686431885, message = too close
distance = 34.146225452423096, message = too close
distance = 34.58373546600342, message = too close
distance = 34.63280200958252, message = too close
distance = 34.191203117370605, message = too close
distance = 34.714579582214355, message = too close
distance = 34.759557247161865, message = too close
distance = 34.759557247161865, message = too close
distance = 34.76364612579346, message = too close
distance = 34.85769033432007, message = too close
distance = 35.282933712005615, message = too close
distance = 34.48969125747681, message = too close
distance = 34.56737995147705, message = too close
distance = 35.008978843688965, message = too close
distance = 35.058045387268066, message = too close
distance = 35.078489780426025, message = too close
distance = 35.56915521621704, message = too close
distance = 35.17253398895264, message = too close
distance = 35.22160053253174, message = too close
distance = 34.87813472747803, message = too close
distance = 35.282933712005615, message = too close
distance = 35.38106679916382, message = too close
distance = 35.36880016326904, message = too close
distance = 34.984445571899414, message = too close
distance = 35.47511100769043, message = too close
distance = 35.49555540084839, message = too close
distance = 35.552799701690674, message = too close
distance = 35.99848747253418, message = too close
distance = 35.601866245269775, message = too close
distance = 35.646843910217285, message = too close
distance = 35.73271036148071, message = too close
distance = 35.716354846954346, message = too close
distance = 35.81857681274414, message = too close
distance = 35.851287841796875, message = too close
distance = 35.91262102127075, message = too close
distance = 35.965776443481445, message = too close
distance = 36.39101982116699, message = too close
distance = 36.45644187927246, message = too close
distance = 36.031198501586914, message = too close
distance = 36.080265045166016, message = too close
distance = 35.77768802642822, message = too close
distance = 36.22337579727173, message = too close
distance = 36.235642433166504, message = too close
distance = 36.34195327758789, message = too close
distance = 36.34195327758789, message = too close
distance = 36.45235300064087, message = too close
distance = 36.4359974861145, message = too close
distance = 36.51777505874634, message = too close
distance = 36.50141954421997, message = too close
distance = 36.170220375061035, message = too close
distance = 36.64044141769409, message = too close
distance = 36.65679693222046, message = too close
distance = 36.73039674758911, message = too close
distance = 36.738574504852295, message = too close
distance = 36.85715198516846, message = too close
distance = 36.9348406791687, message = too close
distance = 36.88986301422119, message = too close
distance = 36.987996101379395, message = too close
distance = 37.04115152359009, message = too close
distance = 37.0861291885376, message = too close
distance = 37.196528911590576, message = too close
distance = 37.601327896118164, message = too close
distance = 37.29466199874878, message = too close
distance = 37.25786209106445, message = too close
distance = 36.918485164642334, message = too close
distance = 37.45412826538086, message = too close
distance = 37.466394901275635, message = too close
distance = 37.486839294433594, message = too close
distance = 37.560439109802246, message = too close
distance = 37.580883502960205, message = too close
distance = 37.67901659011841, message = too close
distance = 37.26603984832764, message = too close
distance = 37.74852752685547, message = too close
distance = 37.76897192001343, message = too close
distance = 36.738574504852295, message = too close
distance = 37.97750473022461, message = too close
distance = 38.02657127380371, message = too close
distance = 38.52132558822632, message = too close
distance = 38.12061548233032, message = too close
distance = 38.13697099685669, message = too close
distance = 38.263726234436035, message = too close
distance = 38.284170627593994, message = too close
distance = 38.77483606338501, message = too close
distance = 38.353681564331055, message = too close
distance = 38.4313702583313, message = too close
distance = 38.4804368019104, message = too close
distance = 38.971102237701416, message = too close
distance = 39.04879093170166, message = too close
distance = 38.738036155700684, message = too close
distance = 38.75030279159546, message = too close
distance = 38.77074718475342, message = too close
distance = 38.832080364227295, message = too close
distance = 38.89341354370117, message = too close
distance = 39.420878887176514, message = too close
distance = 39.44132328033447, message = too close
distance = 39.0774130821228, message = too close
distance = 39.151012897491455, message = too close
distance = 39.19190168380737, message = too close
distance = 39.240968227386475, message = too close
distance = 39.78070020675659, message = too close
distance = 39.80114459991455, message = too close
distance = 38.67670297622681, message = too close
distance = 39.51083421707153, message = too close
distance = 39.56398963928223, message = too close
distance = 39.653944969177246, message = too close
distance = 40.14869928359985, message = too close
distance = 39.79705572128296, message = too close
distance = 39.79705572128296, message = too close
distance = 39.858388900756836, message = too close
distance = 40.332698822021484, message = too close
distance = 40.48807621002197, message = too close
distance = 40.09145498275757, message = too close
distance = 40.128254890441895, message = too close
distance = 40.177321434020996, message = too close
distance = 40.651631355285645, message = too close
distance = 40.77020883560181, message = too close
distance = 40.381765365600586, message = too close
distance = 40.835630893707275, message = too close
distance = 40.45536518096924, message = too close
distance = 40.5739426612854, message = too close
distance = 40.631186962127686, message = too close
distance = 41.11367464065552, message = too close
distance = 41.20771884918213, message = too close
distance = 40.80700874328613, message = too close
distance = 40.946030616760254, message = too close
distance = 41.39580726623535, message = too close
distance = 41.03189706802368, message = too close
distance = 41.085052490234375, message = too close
distance = 41.61660671234131, message = too close
distance = 41.29358530044556, message = too close
distance = 41.30176305770874, message = too close
distance = 41.37536287307739, message = too close
distance = 41.882383823394775, message = too close
distance = 41.55118465423584, message = too close
distance = 41.95598363876343, message = too close
distance = 41.66158437728882, message = too close
distance = 41.698384284973145, message = too close
distance = 41.743361949920654, message = too close
distance = 42.225849628448486, message = too close
distance = 41.92327260971069, message = too close
distance = 41.98460578918457, message = too close
distance = 42.02549457550049, message = too close
distance = 42.54887104034424, message = too close
distance = 42.197227478027344, message = too close
distance = 42.26264953613281, message = too close
distance = 42.32398271560669, message = too close
distance = 42.82691478729248, message = too close
distance = 42.44664907455444, message = too close
distance = 42.57749319076538, message = too close
distance = 43.03544759750366, message = too close
distance = 42.724692821502686, message = too close
distance = 43.199002742767334, message = too close
distance = 43.20718050003052, message = too close
distance = 42.884159088134766, message = too close
distance = 43.37482452392578, message = too close
distance = 43.019092082977295, message = too close
distance = 43.54655742645264, message = too close
distance = 43.18264722824097, message = too close
distance = 43.75509023666382, message = too close
distance = 43.37073564529419, message = too close
distance = 43.795979022979736, message = too close
distance = 43.4647798538208, message = too close
distance = 43.926823139190674, message = too close
distance = 44.06993389129639, message = too close
distance = 44.12308931350708, message = too close
distance = 44.19668912887573, message = too close
distance = 44.23757791519165, message = too close
distance = 44.360244274139404, message = too close
distance = 44.4133996963501, message = too close
distance = 44.54833269119263, message = too close
distance = 44.613754749298096, message = too close
distance = 44.66691017150879, message = too close
distance = 44.294822216033936, message = too close
distance = 44.384777545928955, message = too close
distance = 44.89588737487793, message = too close
distance = 44.58513259887695, message = too close
distance = 45.137131214141846, message = too close
distance = 44.74050998687744, message = too close
distance = 45.62370777130127, message = too close
distance = 45.32113075256348, message = too close
distance = 45.39064168930054, message = too close
distance = 45.47241926193237, message = too close
distance = 45.546019077301025, message = too close
distance = 45.19437551498413, message = too close
distance = 45.74228525161743, message = too close
distance = 45.80361843109131, message = too close
distance = 45.46833038330078, message = too close
distance = 45.6073522567749, message = too close
distance = 46.07757329940796, message = too close
distance = 46.1552619934082, message = too close
distance = 46.224772930145264, message = too close
distance = 46.3065505027771, message = too close
distance = 46.37606143951416, message = too close
distance = 46.5069055557251, message = too close
distance = 46.5069055557251, message = too close
distance = 46.6541051864624, message = too close
distance = 46.752238273620605, message = too close
distance = 46.85854911804199, message = too close
distance = 46.887171268463135, message = too close
distance = 47.001659870147705, message = too close
distance = 46.71134948730469, message = too close
distance = 47.65588045120239, message = too close
distance = 47.24290370941162, message = too close
distance = 47.3533034324646, message = too close
distance = 47.43916988372803, message = too close
distance = 47.116148471832275, message = too close
distance = 48.09747934341431, message = too close
distance = 47.28379249572754, message = too close
distance = 47.365570068359375, message = too close
distance = 47.909390926361084, message = too close
distance = 47.9993462562561, message = too close
distance = 47.68859148025513, message = too close
distance = 47.774457931518555, message = too close
distance = 48.28147888183594, message = too close
distance = 48.00752401351929, message = too close
distance = 48.03205728530884, message = too close
distance = 48.57996702194214, message = too close
distance = 48.187434673309326, message = too close
distance = 48.32645654678345, message = too close
distance = 48.412322998046875, message = too close
distance = 48.502278327941895, message = too close
distance = 49.03383255004883, message = too close
distance = 48.661744594573975, message = too close
distance = 48.74352216720581, message = too close
distance = 48.90298843383789, message = too close
distance = 49.005210399627686, message = too close
distance = 49.070632457733154, message = too close
distance = 49.164676666259766, message = too close
distance = 49.299609661102295, message = too close
distance = 49.80663061141968, message = too close
distance = 49.90067481994629, message = too close
distance = 49.638986587524414, message = too close
distance = 50.096940994262695, message = close
distance = 49.78209733963013, message = too close
distance = 49.92111921310425, message = too close
distance = 49.97427463531494, message = too close
distance = 50.51809549331665, message = close
distance = 50.66120624542236, message = close
distance = 50.710272789001465, message = close
distance = 50.42405128479004, message = close
distance = 50.526273250579834, message = close
distance = 50.620317459106445, message = close
distance = 50.6939172744751, message = close
distance = 50.83702802658081, message = close
distance = 50.935161113739014, message = close
distance = 51.008760929107666, message = close
distance = 51.13551616668701, message = close
distance = 51.27453804016113, message = close
distance = 50.98831653594971, message = close
distance = 51.47898197174072, message = close
distance = 51.507604122161865, message = close
distance = 51.736581325531006, message = close
distance = 51.81835889816284, message = close
distance = 51.941025257110596, message = close
distance = 51.63435935974121, message = close
distance = 52.120935916900635, message = close
distance = 52.623867988586426, message = close
distance = 52.37853527069092, message = close
distance = 52.873289585113525, message = close
distance = 52.19862461090088, message = close
distance = 52.255868911743164, message = close
distance = 52.77515649795532, message = close
distance = 53.351688385009766, message = close
distance = 52.619779109954834, message = close
distance = 52.75062322616577, message = close
distance = 53.72377634048462, message = close
distance = 52.987778186798096, message = close
distance = 53.06137800216675, message = close
distance = 53.61746549606323, message = close
distance = 53.760576248168945, message = close
distance = 53.44982147216797, message = close
distance = 53.52751016616821, message = close
distance = 54.04679775238037, message = close
distance = 53.80964279174805, message = close
distance = 53.85870933532715, message = close
distance = 54.45159673690796, message = close
distance = 54.5824408531189, message = close
distance = 54.30030822753906, message = close
distance = 54.85639572143555, message = close
distance = 54.54155206680298, message = close
distance = 55.08537292480469, message = close
distance = 54.77052927017212, message = close
distance = 54.921817779541016, message = close
distance = 55.02403974533081, message = close
distance = 55.126261711120605, message = close
distance = 54.89319562911987, message = close
distance = 55.38794994354248, message = close
distance = 55.56786060333252, message = close
distance = 56.07079267501831, message = close
distance = 55.7763934135437, message = close
distance = 55.899059772491455, message = close
distance = 55.670082569122314, message = close
distance = 56.193459033966064, message = close
distance = 55.9276819229126, message = close
distance = 56.033992767333984, message = close
distance = 56.52874708175659, message = close
distance = 56.70456886291504, message = close
distance = 56.41834735870361, message = close
distance = 56.98670148849487, message = close
distance = 57.07665681838989, message = close
distance = 57.215678691864014, message = close
distance = 56.990790367126465, message = close
distance = 57.09301233291626, message = close
distance = 57.649099826812744, message = close
distance = 57.3710560798645, message = close
distance = 58.40963125228882, message = close
distance = 58.02527666091919, message = close
distance = 58.21336507797241, message = close
distance = 58.3687424659729, message = close
distance = 58.446431159973145, message = close
distance = 58.585453033447266, message = close
distance = 59.18242931365967, message = close
distance = 58.93709659576416, message = close
distance = 59.084296226501465, message = close
distance = 59.25194025039673, message = close
distance = 59.35007333755493, message = close
distance = 59.48500633239746, message = close
distance = 59.68945026397705, message = close
distance = 59.77940559387207, message = close
distance = 59.93069410324097, message = close
distance = 60.09424924850464, message = close
distance = 60.225093364715576, message = close
distance = 60.425448417663574, message = close
distance = 60.52767038345337, message = close
distance = 61.1614465713501, message = close
distance = 60.834336280822754, message = close
distance = 61.038780212402344, message = close
distance = 61.177802085876465, message = close
distance = 61.34544610977173, message = close
distance = 61.48855686187744, message = close
distance = 61.631667613983154, message = close
distance = 61.79931163787842, message = close
distance = 61.930155754089355, message = close
distance = 62.12642192840576, message = close
distance = 62.7070426940918, message = close
distance = 62.478065490722656, message = close
distance = 62.66206502914429, message = close
distance = 62.76428699493408, message = close
distance = 62.91966438293457, message = close
distance = 63.569796085357666, message = close
distance = 63.2549524307251, message = close
distance = 63.47984075546265, message = close
distance = 63.655662536621094, message = close
distance = 64.19130563735962, message = close
distance = 63.98686170578003, message = close
distance = 64.06455039978027, message = close
distance = 64.35486078262329, message = close
distance = 64.90685939788818, message = close
distance = 65.02543687820435, message = close
distance = 64.8496150970459, message = close
distance = 65.41796922683716, message = close
distance = 65.57743549346924, message = close
distance = 65.3484582901001, message = close
distance = 66.37067794799805, message = close
distance = 65.6960129737854, message = close
distance = 66.7427659034729, message = close
distance = 66.62418842315674, message = close
distance = 67.05760955810547, message = close
distance = 66.39930009841919, message = close
distance = 66.56285524368286, message = close
distance = 66.73458814620972, message = close
distance = 66.94720983505249, message = close
distance = 67.11076498031616, message = close
distance = 67.31112003326416, message = close
distance = 68.37422847747803, message = close
distance = 67.69956350326538, message = close
distance = 67.90400743484497, message = close
distance = 68.06347370147705, message = close
distance = 68.27200651168823, message = close
distance = 68.45600605010986, message = close
distance = 69.09387111663818, message = close
distance = 68.81991624832153, message = close
distance = 69.0366268157959, message = close
distance = 69.22471523284912, message = close
distance = 69.85849142074585, message = close
distance = 69.96480226516724, message = close
distance = 69.80942487716675, message = close
distance = 69.98933553695679, message = close
distance = 70.18969058990479, message = close
distance = 70.38595676422119, message = close
distance = 70.65582275390625, message = close
distance = 70.80302238464355, message = close
distance = 70.98702192306519, message = close
distance = 71.65350914001465, message = close
distance = 71.86204195022583, message = close
distance = 72.06239700317383, message = close
distance = 71.82115316390991, message = close
